x,y,ux,uy,velocity_magnitude
9,46,0.00728184,0.00000000,0.00728184
9,47,0.00492049,0.00000000,0.00492049
9,48,0.00250002,0.00000000,0.00250002
9,49,0.00002000,0.00000000,0.00002000
10,0,0.05863487,0.00000000,0.05863487
10,1,0.05861176,0.00000000,0.05861176
10,2,0.05854243,0.00000000,0.05854243
10,3,0.05842686,0.00000000,0.05842686
10,4,0.05826500,0.00000000,0.05826500
10,5,0.05805682,0.00000000,0.05805682
10,6,0.05780225,0.00000000,0.05780225
10,7,0.05750121,0.00000000,0.05750121
10,8,0.05715361,0.00000000,0.05715361
10,9,0.05675934,0.00000000,0.05675934
10,10,0.05631829,0.00000000,0.05631829
10,11,0.05583032,0.00000000,0.05583032
10,12,0.05529529,0.00000000,0.05529529
10,13,0.05471303,0.00000000,0.05471303
10,14,0.05408338,0.00000000,0.05408338
10,15,0.05340615,0.00000000,0.05340615
10,16,0.05268114,0.00000000,0.05268114
10,17,0.05190814,0.00000000,0.05190814
10,18,0.05108694,0.00000000,0.05108694
10,19,0.05021728,0.00000000,0.05021728
10,20,0.04929893,0.00000000,0.04929893
10,21,0.04833163,0.00000000,0.04833163
10,22,0.04731510,0.00000000,0.04731510
10,23,0.04624907,0.00000000,0.04624907
10,24,0.04513325,0.00000000,0.04513325
10,25,0.04396732,0.00000000,0.04396732
10,26,0.04275099,0.00000000,0.04275099
10,27,0.04148393,0.00000000,0.04148393
10,28,0.04016580,0.00000000,0.04016580
10,29,0.03879627,0.00000000,0.03879627
10,30,0.03737498,0.00000000,0.03737498
10,31,0.03590158,0.00000000,0.03590158
10,32,0.03437569,0.00000000,0.03437569
10,33,0.03279696,0.00000000,0.03279696
10,34,0.03116499,0.00000000,0.03116499
10,35,0.02947939,0.00000000,0.02947939
10,36,0.02773978,0.00000000,0.02773978
10,37,0.02594574,0.00000000,0.02594574
10,38,0.02409688,0.00000000,0.02409688
10,39,0.02219278,0.00000000,0.02219278
10,40,0.02023302,0.00000000,0.02023302
10,41,0.01821719,0.00000000,0.01821719
10,42,0.01614485,0.00000000,0.01614485
10,43,0.01401558,0.00000000,0.01401558
10,44,0.01182895,0.00000000,0.01182895
10,45,0.00958451,0.00000000,0.00958451
10,46,0.00728184,0.00000000,0.00728184
10,47,0.00492049,0.00000000,0.00492049
10,48,0.00250002,0.00000000,0.00250002
10,49,0.00002000,0.00000000,0.00002000
11,0,0.05863487,0.00000000,0.05863487
11,1,0.05861176,0.00000000,0.05861176
11,2,0.05854243,0.00000000,0.05854243
11,3,0.05842686,0.00000000,0.05842686
11,4,0.05826500,0.00000000,0.05826500
11,5,0.05805682,0.00000000,0.05805682
11,6,0.05780225,0.00000000,0.05780225
11,7,0.05750121,0.00000000,0.05750121
11,8,0.05715361,0.00000000,0.05715361
